"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269709573060E9,"2026-05-20 11:35:09.573 UTC+02:00"
"PAUSE",1.547855899995193E1,1.779269725051537E9,"2026-05-20 11:35:25.052 UTC+02:00"
