time,x,y,z,abs,file,roadtype,weight,weather,makers,second
0.3775935,-0.2764272296,-0.06962162733,0.08853795469,0.2984931384,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.3876425,-0.3150700526,-0.06113556325,0.09673575103,0.3352081453,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.3976915,-0.3630453607,-0.05216929659,0.07813751221,0.3750053869,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4077405,-0.4154820212,-0.04078812987,-0.002556402683,0.4174871455,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4177905,-0.4454589417,0.02098945767,-0.1070625186,0.4586246929,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4278395,-0.4638245344,0.09249929711,-0.1563527924,0.498132025,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4378885,-0.4502121433,0.1047255327,-0.1143504882,0.4761664051,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4479375,-0.4460030982,0.1146137591,-0.03420504212,0.4617629936,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4579875,-0.4492668678,0.1242296514,0.007148805857,0.4661811131,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4680365,-0.4506075612,0.1104413322,0.03038154781,0.4649381685,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4780855,-0.4550574751,0.0840239042,0.02171889782,0.463259142,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4881345,-0.3921630328,0.01789364934,-0.01851637781,0.393007485,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.4981845,-0.3552356367,-0.01198708445,-0.09046461225,0.3667695378,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5082335,-0.3009250898,-0.0145839791,-0.1378679895,0.3313248929,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5182825,-0.2198875048,-0.07567963511,-0.06383171439,0.2411481074,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5283315,-0.1352695326,-0.07360109612,-0.01119917214,0.154403333,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5383815,-0.04072823245,-0.03663646057,0.07990161717,0.09687769397,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5484305,0.01373102565,-0.02794589013,0.1395899945,0.1430205594,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5584795,0.03526895215,-0.04081561178,0.1521275944,0.1614082343,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5685285,0.04776463472,-0.05335321158,0.1209502405,0.1405595468,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
