time,x,y,z,file,roadtype,weight,weather,makers
0.0089235000777989,-0.9713301086425782,7.116501159667969,6.625671844482422,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.018976500025019,-1.228195953369141,6.9217561340332034,6.889573059082031,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.0290305000962689,-1.1681707763671876,7.157964935302735,6.706803131103516,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.039083500043489,-1.2540921020507814,7.133715362548829,6.999594268798829,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.0491374999983236,-1.3037887573242188,7.275470581054688,6.5696882629394535,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.059190500061959,-1.460812225341797,7.176975402832031,6.692433013916016,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.0692445000167936,-1.5322137451171876,7.186854858398438,6.455475769042969,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.079297500080429,-1.4401551818847658,7.154671783447266,6.68494857788086,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.0893515000352636,-1.6474740600585938,7.185807037353516,6.572083282470704,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.099404500098899,-1.5368540954589844,6.993157653808594,6.611750793457031,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1094575000461191,-1.1966116333007812,7.022047576904297,6.685996398925782,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1195115000009536,-1.6063096618652344,7.139702911376953,6.789730682373047,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.129564500064589,-1.1144325256347656,7.147935791015625,6.922354888916016,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1396185000194236,-0.3335064697265625,7.259603576660156,6.652615814208985,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
