"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269098043120E9,"2026-05-20 11:24:58.043 UTC+02:00"
"PAUSE",1.371000062499661E1,1.779269111753092E9,"2026-05-20 11:25:11.753 UTC+02:00"
