"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269192354605E9,"2026-05-20 11:26:32.355 UTC+02:00"
"PAUSE",1.451028766669333E1,1.779269206864826E9,"2026-05-20 11:26:46.865 UTC+02:00"
