time,x,y,z
9.008476125076411,-0.4465214538574219,7.455246734619141,6.777306518554688
9.018529125023631,-0.5128335571289063,7.220235443115235,5.611381072998047
9.028583124978468,-0.5589376831054688,5.802383880615235,6.756200408935547
9.038637125049718,-0.4508624267578125,6.120622100830079,5.744304656982422
9.048690124996938,-0.4379891967773437,7.550897827148438,6.196963348388672
9.058744125068188,-0.2293231201171875,7.432494049072266,7.727979583740235
9.068797125015408,-0.5319937133789063,6.803202667236328,8.180189208984375
9.078851124970242,-0.8951385498046875,6.571634216308594,8.340206451416016
9.088905125041492,-1.180594940185547,7.787855072021485,6.573580169677735
9.098958124988712,-0.8912466430664063,7.952512664794923,5.814957733154297
9.109012125059962,-1.22625,6.051465911865234,6.250551910400391
9.119065125007182,-1.9935543823242188,5.905220031738281,6.092630310058594
9.129119125078432,-1.2017010498046876,7.741601257324219,5.68143539428711
9.139173125033269,-0.5996530151367188,7.663314056396483,5.4971685791015625
9.149226124980489,-1.8173707580566407,6.040987701416016,5.72888671875
9.159280125051737,-1.9501446533203128,6.729855194091797,7.077133026123048
9.169333124998955,-0.6749464416503906,7.8234809875488285,7.523055725097657
9.179387125070209,-0.865799560546875,8.48271011352539,6.827152862548829
9.18944112502504,-1.095721435546875,6.721772003173829,8.683143310546875
9.19949412497226,-0.4529580688476562,6.567293243408203,8.073910217285157
9.209548125043511,-0.2519261169433593,6.8249075317382815,6.418802032470704
9.219601124990731,-0.2532733154296875,6.87176010131836,7.046596527099609
9.22965512506198,0.1095721435546875,7.1419482421875005,6.596183166503907
9.239709125016816,0.197589111328125,6.903045043945313,7.626041564941406
9.249762125080451,-0.0776884460449218,7.061116333007813,7.713160400390626
9.259816125035286,-0.2300715637207031,7.46811996459961,7.472610626220703
9.269869124982506,0.3829037475585937,8.335715789794921,6.2403730773925785
9.279923125053756,0.4725672912597656,7.761809234619141,5.85387680053711
9.28997712500859,-0.1676513671875,7.671546936035156,4.61565170288086
9.300030125072226,0.2236349487304687,7.753426666259766,4.968617706298828
9.31008412502706,0.6062393188476562,7.301217041015625,6.6208818054199226
9.32013712497428,0.2438429260253906,7.1172496032714845,5.788163452148438
9.33019112504553,0.173638916015625,6.523434448242188,7.298971710205079
9.340245125000363,0.8753796386718751,7.812853088378906,6.635251922607422
9.350298125064,0.431103515625,7.899373168945313,5.401966552734375
9.360352125018837,-0.4799020385742187,7.236401824951172,5.6091357421875
9.37040512508247,0.1035845947265625,6.332132263183594,6.971602478027344
9.380459125037303,0.5935157775878906,7.697892150878906,6.223757629394531
9.39051312499214,-0.0062869262695312,7.813451843261719,7.497009887695313
9.400566125055777,-0.5572911071777344,7.430099029541016,7.833061065673829
9.41062012501061,-0.2001338195800781,7.473359069824219,7.4166270446777345
