"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269974871236E9,"2026-05-20 11:39:34.871 UTC+02:00"
"PAUSE",1.396045679168310E1,1.779269988831607E9,"2026-05-20 11:39:48.832 UTC+02:00"
