Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
8.006490125,-0.08980802475,0.5504222368,2.860349139,2.914211268
8.016539125,-1.698828693,0.7049153222,0.6380013943,1.946784611
8.026588125,-2.125980661,1.296212374,-0.4406379855,2.528660144
8.036638125,-2.042619392,2.142893293,-1.554268273,3.34365601
8.046687125,-0.2489995855,2.261592794,-1.710859047,2.846724686
8.056736125,-0.2479979027,2.516856794,-4.67126691,5.311949324
8.066785125,-0.1580674518,3.520147784,-4.162609434,5.453782453
8.076835125,-0.5121844431,-0.2418205203,-1.017441836,1.164473253
8.086884125,0.06593159571,-3.946502483,1.740444204,4.313742558
8.096933125,2.055305657,-2.067844134,0.110961442,2.917631428
8.106982125,2.574406845,0.07707112625,-0.3109210145,2.594259517
8.117032125,3.040353626,0.516362498,-1.585223433,3.46746503
8.127081125,3.04896599,0.1340595518,-0.6432317287,3.118960184
8.137130125,2.178732778,0.7306980349,-2.463144856,3.368661265
8.147179125,2.417437318,1.0065245,-2.592492868,3.684849254
8.157229125,2.892133141,0.267407936,-1.888397471,3.464388275
8.167278125,3.172111568,0.3319110569,1.571036333,3.555363822
8.177327125,2.540138068,0.4544608033,4.203827627,4.932646627
8.187376125,2.539240521,-1.067146239,3.742027983,4.646430559
8.197426125,2.038484972,-0.1102682546,2.046200958,2.890418383
8.207475125,1.747519335,0.5036258005,2.094091993,2.773568829
8.217524125,2.262334221,-0.2396399474,2.529588522,3.402117212
8.227573125,2.221901602,-0.9173481752,2.345097173,3.358251801
8.237623125,1.494687485,0.345521767,-2.069711443,2.576272777
8.247672125,1.488285222,2.171890367,-2.047496116,3.335317228
8.257721125,1.694088794,3.760361343,-0.5916639644,4.166571795
8.267770125,1.074039375,0.8205918127,0.01106819451,1.351685617
8.277820125,1.312795954,-0.7680145267,-1.234754775,1.959055611
8.287869125,0.7925937362,1.033641839,-1.107866687,1.709967508
8.297918125,0.3107616048,2.017892833,0.4877203506,2.099127295
8.307967125,0.5965293594,0.4216975383,1.808428026,1.950407141
8.318017125,0.1795979048,-0.2774112064,0.9844097453,1.038400179
8.328066125,-0.2343340743,-0.5217698568,0.8520819926,1.026255311
8.338115125,-0.6640797568,0.9028457648,1.487708833,1.862635222
8.348164125,-0.5435444128,0.2203192851,1.634137146,1.736198528
8.358214125,-0.4143289503,0.486101549,-0.1308741349,0.6519902101
8.368263125,-0.2703866356,1.641560625,-0.6806691116,1.797537387
8.378312125,-0.9707237524,1.315176795,-2.531664283,3.013522631
8.388361125,-2.078223819,-0.985445141,-1.011297582,2.512536401
8.398411125,-1.604477144,-3.608868756,0.06147119343,3.949944217
8.408460125,-1.895433134,-1.38655054,-0.9026013511,2.515924952
8.418509125,-1.205698645,1.507131236,-1.879016783,2.693669961
8.428558125,-1.886088698,1.691622,-2.593623134,3.625713245
8.438608125,-2.263061323,-0.6787045933,-0.7892940062,2.490998094
8.448657125,-1.64533281,-2.19694627,-0.8764420778,2.881292017
8.458706125,-1.831939388,-1.611374666,0.5968065906,2.511714224
8.468755125,-1.952451088,-3.231091263,2.147539637,4.343264036
8.478805125,-2.958706615,-2.26796509,1.039340828,3.870121425
8.488854125,-2.63079213,1.46785315,2.429616337,3.870231989
8.498903125,-2.439128587,-0.9233288535,4.117991086,4.874395862
8.508952125,-2.540698524,-2.797615239,6.747365851,7.733611442
8.519002125,-2.68603984,-2.823275453,6.330469315,7.433743071
8.529051125,-3.061847991,-1.839380409,3.133029948,4.751221955
8.539100125,-2.384755767,0.4007105657,0.3971890801,2.450589356
8.549149125,-1.90892763,2.533390089,-3.002533543,4.367754311
8.559199125,-1.007757385,3.057322831,-2.655776113,4.173241498
8.569248125,-1.089080753,0.8469390741,-5.555675819,5.724415821
8.579297125,-1.727318667,1.554040816,-6.548393288,6.948390266
8.589346125,-1.625031862,0.3746074256,-4.650806918,4.940755434
8.599396125,-2.552113751,0.07286844,-1.027549918,2.752172458
8.609445125,-2.101072984,-0.697503684,3.334550727,4.002530153
8.619494125,-2.411227721,-1.818822183,4.526502129,5.441631629
8.629543125,-2.609628426,-0.7544587804,4.245876124,5.040519083
8.639593125,-1.592053273,1.496976377,3.569011796,4.184903475
8.649642125,-1.405977914,0.4574636409,1.355552403,2.005883645
8.659691125,-1.454784623,0.0592327331,-2.200734097,2.638775735
8.669740208,-1.190112526,1.129479019,-5.141702891,5.39714733
8.679790208,-0.8862144562,1.795763542,-4.083500115,4.548089263
8.689839208,-0.8267258343,0.1676576529,-2.057962632,2.224139134
8.699888208,-0.951305807,-1.02502816,-1.691505348,2.194733653
8.709937208,-0.5652871015,-2.048508415,0.09506169319,2.127198383
8.719987208,0.3005582135,-1.385301721,0.9961164558,1.732525351
8.730036208,0.7444344601,0.4898675944,1.346924837,1.615041622
8.740085208,0.8569997934,-1.530285041,0.7688351834,1.915027021
8.750134208,1.692347347,-1.188677693,0.08245451152,2.069732579
8.760184208,1.175441643,0.6217877962,0.2377296621,1.350851032
8.770233208,0.08719945394,0.6335542944,0.09730059206,0.6468865387
8.780282208,0.4472591532,-0.5805944543,0.5655918145,0.9257563238
8.790331208,0.7407512259,-0.8544762813,2.059707441,2.349731227
8.800381208,1.084338003,-0.8679516283,3.516867496,3.78120165
8.810430208,1.31949584,-1.621514908,5.304638479,5.701716343
8.820479208,1.344769261,-1.875676123,4.209253258,4.800456048
8.830528208,1.611338267,-0.8308278023,-0.0159295696,1.812991892
8.840578208,1.037435586,1.072124412,-3.633703051,3.928042924
8.850627208,2.021005306,2.221661282,-4.377285864,5.308565986
8.860676208,2.44544855,0.7017185032,-6.056286941,6.568960267
8.870725208,1.810297089,0.1895771103,-6.151223504,6.414878458
8.880775208,2.150203336,-0.217818431,-2.321681414,3.171911702
8.890824208,2.368127017,-1.375368032,2.707091278,3.850714996
8.900873208,2.635394766,-1.143173052,7.067092772,7.628627036
8.910922208,2.012242376,-2.030297116,10.21948519,10.61174365
8.920972208,1.812203281,-2.745754237,10.5726921,11.07271716
8.931021208,0.9820264202,-0.5459432696,5.470090123,5.584291889
8.941070208,1.259273905,2.275463998,1.383074078,2.945573132
8.951119208,1.4321635,5.53141923,-4.827544273,7.480165419
8.961169208,0.8428142289,2.259986418,-4.611977313,5.204633432
8.971218208,0.5985280839,2.000566802,-8.411491612,8.666815709
8.981267208,-0.596457658,1.284909706,-5.735014016,5.907380168
8.991316208,-0.1821154053,-0.7024378569,-5.742927053,5.788591893
