"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269806344191E9,"2026-05-20 11:36:46.344 UTC+02:00"
"PAUSE",1.367699816671666E1,1.779269820021125E9,"2026-05-20 11:37:00.021 UTC+02:00"
