"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268893592539E9,"2026-05-20 11:21:33.593 UTC+02:00"
"PAUSE",1.304324983328115E1,1.779268906635725E9,"2026-05-20 11:21:46.636 UTC+02:00"
