"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268754592995E9,"2026-05-20 11:19:14.593 UTC+02:00"
"PAUSE",1.289314570836723E1,1.779268767486100E9,"2026-05-20 11:19:27.486 UTC+02:00"
