"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268559070816E9,"2026-05-20 11:15:59.071 UTC+02:00"
"PAUSE",1.294296737504192E1,1.779268572013244E9,"2026-05-20 11:16:12.013 UTC+02:00"
