"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269322943271E9,"2026-05-20 11:28:42.943 UTC+02:00"
"PAUSE",1.429409529163968E1,1.779269337237301E9,"2026-05-20 11:28:57.237 UTC+02:00"
