"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779271083157736E9,"2026-05-20 11:58:03.158 UTC+02:00"
"PAUSE",1.432898108335212E1,1.779271097486659E9,"2026-05-20 11:58:17.487 UTC+02:00"
