"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779388147571070E9,"2026-05-21 20:29:07.571 UTC+02:00"
"PAUSE",1.374413212505169E1,1.779388161315171E9,"2026-05-21 20:29:21.315 UTC+02:00"
