"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779269461721855E9,"2026-05-20 11:31:01.722 UTC+02:00"
"PAUSE",1.482874612498563E1,1.779269476550587E9,"2026-05-20 11:31:16.551 UTC+02:00"
