"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779270877516877E9,"2026-05-20 11:54:37.517 UTC+02:00"
"PAUSE",1.409255712502636E1,1.779270891609436E9,"2026-05-20 11:54:51.609 UTC+02:00"
