time_s,acc_x_ms2,acc_y_ms2,acc_z_ms2,acc_abs_ms2
5.000006756,-0.858055234,0.03499269485,-1.667366028,1.875524658
5.008002151,0.2535818219,-0.2439371943,-0.3113565445,0.4698425194
5.015998777,0.3226956725,0.09916090965,0.8699550629,0.9331597904
5.023995019,0.0755405575,1.192364216,0.04053688049,1.195442193
5.0319920300000005,-0.5157473087,0.6895231009,-0.5782728195,1.037225553
5.039984579,-0.3861427307,0.8273184896,-0.3183431625,0.9669045769
5.048011359,0.2865326405,0.6577259302,-0.542090416,0.8992031875
5.056006754,-0.1531132013,1.114197254,-0.459271431,1.214828968
5.064001611,-0.03698979318,0.9937459826,0.4329862595,1.084608881
5.0719985450000005,1.513125777,0.9945867658,1.249046326,2.19974298
5.079993326,-0.005325824022,0.3063915372,0.7574911118,0.8171272379
5.087989029,1.180215836,-0.08062463999,1.441046715,1.864410198
5.095985577,1.314107299,-0.04728364944,0.9703407288,1.634219957
5.103981665,0.7217015624,0.08852833509,0.8777551651,1.13980022
5.112007522,-0.1392259151,0.7662392855,0.1843194962,0.8003000529
5.120003149,-0.06540521979,0.1271741986,1.152200699,1.161041588
5.1279986200000005,-1.134229779,0.3886110187,0.8510437012,1.470296262
5.135994324,-1.157998323,-0.2874310017,1.626922607,2.017536584
5.143988489,-1.82026124,-0.008881866932,0.2312545776,1.834913772
5.151984807,-0.9650437832,-0.3105359077,-0.9800710678,1.410064308
5.160013126,-0.6819820404,-0.2060863376,-0.1492929459,0.7279144631
5.168006905,-1.071903348,0.1081254482,-0.6113567352,1.238719079
5.176001147,-1.072448373,-0.1591166854,-1.188416481,1.608663223
5.183998389,0.3771762252,-0.09981697798,-0.9154539108,0.9951287338
5.191994092,0.9546349049,-0.215531826,-0.8388595581,1.288979103
5.199989488,0.3616675735,-0.1583351493,0.09244823456,0.4054875205
5.2079833440000005,1.354138255,-0.2833169699,0.06851005554,1.385154341
5.216011663,0.2078058422,-0.2737236619,0.5736570358,0.6687228917
5.224007597,-0.3276610374,-0.2136864662,-0.4056167603,0.5635145229
5.232001454,-0.06582953781,-0.1135338545,-0.1733751297,0.217445165
5.239999619,-0.8798499703,-0.5352045298,-0.1592292786,1.042081485
5.24799386,-1.034007072,-0.2287830114,-0.3869447708,1.12749215
5.255989871,-0.7064605355,-0.4968284369,-0.3467321396,0.9306708121
5.26398342,0.5678431988,-0.2981572151,-0.9527072906,1.148474991
5.27201197,-2.605417013,0.2271439433,0.3373966217,2.636973391
5.280005904,-0.3532395363,-0.2731937766,-0.06048679352,0.4506347321
5.288001606,-1.46718955,-0.9064557552,0.1854200363,1.734556947
5.296000079,-0.05116493255,-0.9790008068,0.1342554092,0.9894872131
5.303994167,1.327925324,-0.402743578,-0.2137775421,1.404025959
5.311989331,-0.797385335,-0.1099658608,0.3311443329,0.8703863695
5.319985649,0.6376991272,-2.390046358,-9.068611145,9.399930312
5.328010583,4.179479122,-1.069169283,-6.979142189,8.204851881
5.336005902,0.3277131319,-1.503816247,-0.8719463348,1.768940251
5.3440009900000005,4.875083447,-3.601884842,1.512643814,6.247247741
5.351997385,-2.078565836,-3.219572306,4.955339432,6.26430129
5.359992088,-6.473655701,1.101103306,6.980476379,9.583720421
5.367987868,-4.443192959,1.503440619,3.633602142,5.933410646
5.375985033,-2.505214691,2.068880081,-1.401192665,3.538319703
5.384011505,-1.673126101,1.336754799,-1.5518713,2.644724726
5.39200667,-5.596966743,1.583363414,0.1097354889,5.81765574
5.400000834,1.417833924,0.1279059649,0.03070831299,1.423922741
5.407996845,-0.5985105038,-0.8751987815,0.7392015457,1.292519499
5.415993472,3.356090546,-1.069628835,0.3128852844,3.536289976
5.42398856,0.6564748287,-0.7635521293,0.5162525177,1.131586372
5.431983648,1.13568902,-0.4752580523,-0.5326557159,1.341410406
5.440010427,0.3481043577,0.8997936249,1.949721336,2.175366291
5.4480052070000005,2.145411253,-0.5999931097,0.7545003891,2.352031465
5.456000526,1.956478,-1.3451159,-0.6494512558,2.461489362
5.463995998,1.023361564,-0.7631793022,-1.016939163,1.632138719
5.471992239,-3.568397999,0.4036403298,-0.4763889313,3.622614554
5.4799885580000005,-2.945588589,-0.1929038763,1.053002357,3.134089661
5.487985261,-1.764014482,-0.02752590179,-0.2569103241,1.782836976
5.496011426,-0.9962660074,0.2246653438,-0.6232995987,1.196462646
5.504005206,-0.8272094131,0.07861554623,0.2410392761,0.8651911637
5.512001832,1.285855532,-0.405988574,-0.5037412643,1.439446571
5.519997535,0.7961419821,-0.61906147,-0.6812782288,1.217053485
5.527994469,1.76583612,-1.135457516,0.7950754166,2.2449022
5.535988403,1.117214084,-1.301437855,1.449951172,2.245944389
5.54398403,0.4006153345,-0.5221429467,0.239783287,0.7004440933
5.552011117,-0.8030900955,-0.02478253841,-0.12981987,0.8138925447
5.56000782,-0.1099608541,0.1826381087,-0.3077020645,0.3743375865
5.568001677,-0.6714152694,-0.2637955546,-1.012107849,1.242879261
5.57599915,-0.4338012338,-0.8796292543,0.01183319092,0.980852262
5.583993084,0.6214454174,-0.5920008421,-0.8316545486,1.195118694
5.591988709,0.5493383408,-0.08099898696,-1.449882507,1.55257616
5.599983489,1.064910173,-0.3610696495,-1.538949966,1.905983203
5.60801127,1.144447565,-0.5135822296,-0.9433050156,1.569506702
5.616005665,1.512990713,-0.8229717016,-0.1514234543,1.728974373
5.62399983,1.602043629,-0.9631947875,0.4271459579,1.917483157
5.6319974550000005,0.6826831698,-0.5839113593,-0.1961402893,0.9194997548
5.639993159,1.196891904,-0.295322299,0.2962722778,1.267889093
5.647987631,1.011776567,-0.4187465608,0.8460626602,1.383785579
5.655984873,0.5610635281,-0.4515807629,0.5147752762,0.8852745636
5.664009422,1.58867681,-0.05915412307,-1.372418404,2.100220344
5.672005433,1.004970908,-0.5649362206,0.3627929688,1.208610027
5.680002751,2.323728561,-0.6770384908,1.916099548,3.086994173
5.687995993,0.8819399476,-0.7486798763,2.416172981,2.678848914
5.695991081,1.364351034,-0.8737102747,0.6011018753,1.728047121
5.703989245,1.959529161,-0.6995730996,-0.1557531357,2.086484147
5.7119831020000005,0.267986238,-0.6347897053,-1.128183365,1.321957752
5.720008267,1.430365443,-0.920034647,-0.5970535278,1.802465525
5.728007124,0.9013166428,-0.9937240481,0.02992153168,1.341921932
5.7359997510000005,1.897217751,-1.57861042,0.6497564316,2.552181316
5.743996914,0.2840357125,-2.031182766,0.6517620087,2.152016132
5.751992925,-0.4012577832,-1.404972553,0.1940097809,1.473972686
5.759988398,-0.01340521872,-1.057472825,0.03313350677,1.058076701
5.768012717,-1.012334108,0.0310318917,-1.806063652,2.070663961
5.776008112,-0.05327571929,-0.2890937924,-1.99560976,2.017144476
5.78400443,-0.5124089718,-0.5141882896,-0.643324852,0.9699584614
5.792000672,-0.7681713104,-1.169459343,0.7567806244,1.590735437
5.799996991,-0.8588507175,-1.04980588,0.6030836105,1.484394416
5.8079905400000005,-0.9646822214,-0.1422132701,0.265048027,1.010488426
5.815988089,-1.321116805,0.1834168136,-1.011459351,1.673929914
5.823983561,0.260338068,0.1884151697,-1.488175392,1.52247896
5.832008803,-0.6897945404,-0.9995766282,0.2066555023,1.231940112
5.8400063520000005,-0.2138525844,-0.7961220145,0.9989061356,1.295128047
5.848002056,0.3688775301,-0.9951760769,0.5486698151,1.194773879
5.855994604,-1.051386356,-0.6066630483,-0.5742969513,1.342859007
5.863992154,-1.19026351,0.06696657836,-1.661316872,2.044794731
5.871986088,-3.04112649,0.5594884157,0.04092979431,3.092434779
5.87998233,-2.020458698,0.05213108659,1.52302742,2.530727864
5.888009187,-3.215209961,0.01679702848,2.088271141,3.833892746
5.896005735,-4.057582855,0.510361135,1.494792938,4.354176506
5.904001208,-3.331421614,2.120313883,0.2501840591,3.956853926
5.911995373,-2.796179295,2.587973118,-1.269428253,4.01592724
5.9199919990000005,-3.049274921,2.500754356,-1.028785706,4.075567436
5.927985856,-1.700613618,2.182111263,0.308634758,2.783693887
5.935982097,-0.6965738535,1.091902971,1.15990448,1.738633266
5.944008877,-0.6074560881,0.7833681703,0.7325963974,1.232625681
5.952005196,-0.5871773362,1.269130468,0.05159473419,1.399332479
5.959998822,0.867785573,0.7389547825,0.7685518265,1.374691922
5.967995063,-1.078289986,0.7770984173,1.808282852,2.244209909
