time_s;acc_x_ms2;acc_y_ms2;acc_z_ms2;acc_abs_ms2;source_file
9.000000092;-0.405131549;0.319555342;-0.142489433;0.535304051;sample_03_Kiesel_combo1_cut10.csv
10.00799515;1.248141766;-0.503090084;2.117764473;2.509159991;sample_03_Kiesel_combo1_cut11.csv
11.00799513;0.27679956;1.02930665;1.728343964;2.030581944;sample_03_Kiesel_combo1_cut12.csv
12.0079945;0.074808359;0.15285939;2.051854134;2.058899626;sample_03_Kiesel_combo1_cut13.csv
13.00799549;1.027345419;1.676971674;0.050890923;1.967298272;sample_03_Kiesel_combo1_cut14.csv
14.00000101;-1.546655655;1.424619913;1.835010529;2.790868906;sample_03_Kiesel_combo1_cut15.csv
15.00799453;-0.578534544;0.115110368;-2.422845364;2.493618309;sample_03_Kiesel_combo1_cut16.csv
16.00000067;-1.003261089;3.433178663;-1.864669323;4.033638585;sample_03_Kiesel_combo1_cut17.csv
17.00000058;0.228511393;1.45614934;0.878778458;1.716053593;sample_03_Kiesel_combo1_cut18.csv
18.00002578;2.241226673;-1.098329186;3.536067009;4.328185982;sample_03_Kiesel_combo1_cut19.csv
19.00002414;1.293746114;-0.073584497;-1.193575859;1.761765313;sample_03_Kiesel_combo1_cut20.csv
20.0000255;-0.644229353;1.282727242;-1.81300354;2.312445128;sample_03_Kiesel_combo1_cut21.csv
21.00002417;0.077937841;1.805505991;-3.856607437;4.259031241;sample_03_Kiesel_combo1_cut22.csv
22.00002476;-0.426929355;0.542058945;-0.952952385;1.176526592;sample_03_Kiesel_combo1_cut23.csv
23.00002558;0.504678607;-1.457109571;0.307542801;1.572403056;sample_03_Kiesel_combo1_cut24.csv
24.0000254;0.237203449;-0.200758174;0.082482338;0.321516184;sample_03_Kiesel_combo1_cut25.csv
0;0.002560757;0.013623595;0.287722588;0.288056327;sample_04_Klinker_combo1_cut01.csv
1.000002713;0.994313717;-0.452543974;0.440094948;1.177768814;sample_04_Klinker_combo1_cut02.csv
2.000002655;2.145603895;0.510017097;-0.560609818;2.275525628;sample_04_Klinker_combo1_cut03.csv
3.00000683;0.704240561;-1.208274961;1.678272247;2.184600852;sample_04_Klinker_combo1_cut04.csv
4.000009542;0.01533556;-1.200823188;-1.00886631;1.568445963;sample_04_Klinker_combo1_cut05.csv
5.000011332;-0.031941235;-0.282853305;-0.326462746;0.433132958;sample_04_Klinker_combo1_cut06.csv
6.000012891;-1.12844646;-0.141900301;1.318024635;1.740895186;sample_04_Klinker_combo1_cut07.csv
7.000015526;-0.019391507;-0.770320892;0.650125504;1.008183256;sample_04_Klinker_combo1_cut08.csv
8.000019239;0.495648563;1.145299435;-0.262296677;1.275216781;sample_04_Klinker_combo1_cut09.csv
9.000021259;-0.091393143;-1.362761378;0.003239632;1.365826408;sample_04_Klinker_combo1_cut10.csv
10.00002182;-0.216950208;0.370561659;0.174333572;0.46343881;sample_04_Klinker_combo1_cut11.csv
11.00002399;1.628929734;-1.532522082;4.376440048;4.914800454;sample_04_Klinker_combo1_cut12.csv
12.00002448;0.523720145;-1.420145035;0.620876312;1.636026316;sample_04_Klinker_combo1_cut13.csv
13.0000275;-0.203862011;-0.475523144;-1.719163895;1.795329072;sample_04_Klinker_combo1_cut14.csv
14.00003059;-2.794326305;0.261822045;-1.081968307;3.007900547;sample_04_Klinker_combo1_cut15.csv
15.00003054;1.042898417;-0.015348196;-0.240760803;1.070438433;sample_04_Klinker_combo1_cut16.csv
16.00003263;0.1962488;-0.281386912;1.015276909;1.071671306;sample_04_Klinker_combo1_cut17.csv
17.0079216;-0.284141213;-0.149572462;-0.100881577;0.336578732;sample_04_Klinker_combo1_cut18.csv
18.0079236;0.037112623;0.221813858;-1.557149887;1.573306869;sample_04_Klinker_combo1_cut19.csv
19.00792252;0.280267596;0.002566427;0.588335991;0.65168685;sample_04_Klinker_combo1_cut20.csv
20.0079239;-1.487402439;0.808186114;0.168912888;1.701194396;sample_04_Klinker_combo1_cut21.csv
21.00792436;0.689946234;1.250308037;-1.020698547;1.75531237;sample_04_Klinker_combo1_cut22.csv
22.00792582;-0.148974538;-0.000902027;0.223898888;0.268932963;sample_04_Klinker_combo1_cut23.csv
23.00792659;0.739696324;0.28243041;-0.238622665;0.826957293;sample_04_Klinker_combo1_cut24.csv
24.00792697;0.538416684;-0.208081514;-0.750367165;0.946700229;sample_04_Klinker_combo1_cut25.csv
25.00792874;-0.331612855;-0.45580706;0.009522438;0.563753349;sample_04_Klinker_combo1_cut26.csv
26.00792943;-0.36843732;0.010707647;0.026104927;0.369516143;sample_04_Klinker_combo1_cut27.csv
27.00792866;-0.531102598;0.15501833;0.047529221;0.55530143;sample_04_Klinker_combo1_cut28.csv
28.00793939;0.077917092;-0.031555831;0.026566505;0.08816248;sample_04_Klinker_combo1_cut29.csv
29.00794022;0.105009273;0.007720649;0.066878319;0.124736784;sample_04_Klinker_combo1_cut30.csv
30.00794121;-0.029192135;-0.627069414;0.615267754;0.878989556;sample_04_Klinker_combo1_cut31.csv
0;-0.000435665;0.00228858;0.053458214;0.053508953;sample_05_Asfalt_combo2_cut01.csv
1.000002668;0.029603183;0.027618229;0.06016922;0.072522066;sample_05_Asfalt_combo2_cut02.csv
2.000005104;0.371752441;-0.099389136;-0.156191826;0.415299849;sample_05_Asfalt_combo2_cut03.csv
3.000008233;1.60544312;1.767148018;0.254385948;2.401035597;sample_05_Asfalt_combo2_cut04.csv
4.000008438;-1.093515754;-0.030640513;-0.022510529;1.094176525;sample_05_Asfalt_combo2_cut05.csv
5.000010259;-0.201659769;-0.443600088;1.919176102;1.98007187;sample_05_Asfalt_combo2_cut06.csv
6.000012079;0.563968539;-0.085598379;-0.939257622;1.098905126;sample_05_Asfalt_combo2_cut07.csv
7.00001367;-0.28891179;0.366121173;-0.352539063;0.584635379;sample_05_Asfalt_combo2_cut08.csv
8.000014875;-0.421206266;0.49457401;0.677082062;0.938327389;sample_05_Asfalt_combo2_cut09.csv
9.007897555;0.212847531;-0.525618553;-0.760560989;0.948700139;sample_05_Asfalt_combo2_cut10.csv
10.00789617;-1.093100548;-0.489945829;1.01374054;1.569262758;sample_05_Asfalt_combo2_cut11.csv
11.00789624;-0.598617911;0.047729194;0.002835274;0.60052437;sample_05_Asfalt_combo2_cut12.csv
12.00789686;-0.57028234;-0.798244119;-0.415301323;1.065312541;sample_05_Asfalt_combo2_cut13.csv
13.00789609;0.421696097;-0.324101389;1.046383858;1.173792352;sample_05_Asfalt_combo2_cut14.csv
14.00789524;0.280364364;-0.330451399;-1.024228096;1.112135557;sample_05_Asfalt_combo2_cut15.csv
15.00789401;-0.927372932;-0.983315468;-0.11827755;1.356804866;sample_05_Asfalt_combo2_cut16.csv
16.00789539;-0.327422679;-0.049070179;0.011651039;0.331284228;sample_05_Asfalt_combo2_cut17.csv
17.00789424;0.1679492;-0.511807919;-0.815518379;0.977355875;sample_05_Asfalt_combo2_cut18.csv
18.00789339;0.270745724;-0.138010621;-0.874453545;0.925753304;sample_05_Asfalt_combo2_cut19.csv
19.00789493;-0.022217199;0.655414105;-0.598308563;0.887713011;sample_05_Asfalt_combo2_cut20.csv
20.0079709;-0.174632251;0.110263467;-0.430693626;0.477652023;sample_05_Asfalt_combo2_cut21.csv
21.00797169;0.146349549;0.104168534;-0.160868645;0.241138954;sample_05_Asfalt_combo2_cut22.csv
22.00797256;-0.142722994;0.021587193;0.17993927;0.230681601;sample_05_Asfalt_combo2_cut23.csv
0;-0.00056807;-0.003566623;-0.062929153;0.063032705;sample_06_Gras_combo2_cut01.csv
1.000000293;-0.793013632;0.221754313;-0.068941116;0.826316207;sample_06_Gras_combo2_cut02.csv
2.000001048;-0.53256917;-0.847515166;-0.13053894;1.009431668;sample_06_Gras_combo2_cut03.csv
3.000001341;-2.583207607;0.216553569;0.88901329;2.740474707;sample_06_Gras_combo2_cut04.csv
4.000002172;0.055940986;-1.805719852;2.57886219;3.148695567;sample_06_Gras_combo2_cut05.csv
5.000003004;-0.242264167;1.748082757;-2.843849182;3.346933436;sample_06_Gras_combo2_cut06.csv
6.00000345;-0.733452916;-0.42344898;-3.608073235;3.706137435;sample_06_Gras_combo2_cut07.csv
7.000003666;1.14283514;-0.690265119;1.101926804;1.731121247;sample_06_Gras_combo2_cut08.csv
8.000002114;1.89202702;1.828732371;-0.623187065;2.704143201;sample_06_Gras_combo2_cut09.csv
9.00000356;-0.05242756;0.408872366;-1.146209717;1.218081268;sample_06_Gras_combo2_cut10.csv
10.00000432;-1.970527411;-1.480167747;-0.768184662;2.58146906;sample_06_Gras_combo2_cut11.csv
11.00000484;-0.840839028;1.635954618;-0.093226433;1.841751599;sample_06_Gras_combo2_cut12.csv
12.00000352;0.310524017;-0.398261935;4.254754066;4.284620158;sample_06_Gras_combo2_cut13.csv
13.00000558;1.078966379;-1.285452366;-1.67984581;2.374539572;sample_06_Gras_combo2_cut14.csv
14.00000618;0.74153018;-0.496749669;-1.596410751;1.828976361;sample_06_Gras_combo2_cut15.csv
15.00771179;1.587204933;2.920335054;0.093128204;3.325093862;sample_06_Gras_combo2_cut16.csv
16.00770882;0.341557324;-1.507747054;0.708712578;1.70065755;sample_06_Gras_combo2_cut17.csv
17.00770407;-0.022319619;0.000635028;-0.006509781;0.023258243;sample_06_Gras_combo2_cut18.csv
18.00770156;0.112007052;0.00161773;0.029091835;0.115734747;sample_06_Gras_combo2_cut19.csv
19.00769959;1.18853879;-0.823803127;-0.274863243;1.472014215;sample_06_Gras_combo2_cut20.csv
0;-0.002562612;0.00875473;0.121323586;0.121666038;sample_07_Kiesel_combo2_cut01.csv
1.007992777;-0.460173309;0.000313222;0.098675728;0.470634116;sample_07_Kiesel_combo2_cut02.csv
2.007990346;0.167027563;-0.071739495;0.108670235;0.211787586;sample_07_Kiesel_combo2_cut03.csv
3.00005566;-0.067415535;-0.36860013;0.149868965;0.403573558;sample_07_Kiesel_combo2_cut04.csv
4.000055509;0.104594752;1.364438295;0.557933807;1.477809885;sample_07_Kiesel_combo2_cut05.csv
5.00005482;-0.631404758;0.916662455;-2.586326122;2.815674845;sample_07_Kiesel_combo2_cut06.csv
6.0000539;0.281053364;3.319884539;0.516727448;3.371591849;sample_07_Kiesel_combo2_cut07.csv
7.000053518;-0.317117274;-0.777830482;-2.922253132;3.040583331;sample_07_Kiesel_combo2_cut08.csv
8.000052213;0.244088799;0.411981523;-1.777395248;1.840772117;sample_07_Kiesel_combo2_cut09.csv
9.000022951;0.833705425;0.026663378;0.422261238;0.934922577;sample_07_Kiesel_combo2_cut10.csv
10.00002122;-1.525521159;-0.11232087;0.168553352;1.538909035;sample_07_Kiesel_combo2_cut11.csv
11.00001987;0.119594336;-0.040102988;-0.93174839;0.940247902;sample_07_Kiesel_combo2_cut12.csv
12.00001652;-1.398162842;-1.092010975;-0.030670166;1.774341557;sample_07_Kiesel_combo2_cut13.csv
13.00001579;-0.689747691;-0.80779171;4.829237938;4.944675761;sample_07_Kiesel_combo2_cut14.csv
14.00004057;1.229497075;1.128202677;-1.273936272;2.099385139;sample_07_Kiesel_combo2_cut15.csv
15.0000426;-0.493209958;0.271588564;-3.452703953;3.498311163;sample_07_Kiesel_combo2_cut16.csv
16.00004056;-2.92828846;-0.157922685;-0.497413635;2.974429895;sample_07_Kiesel_combo2_cut17.csv
17.00004013;-1.349511504;-1.60249567;-0.492008209;2.152032935;sample_07_Kiesel_combo2_cut18.csv
18.00003948;0.101594135;0.344841123;-2.663073063;2.687228108;sample_07_Kiesel_combo2_cut19.csv
19.00003843;-1.629620194;-1.335735321;2.280854225;3.105180642;sample_07_Kiesel_combo2_cut20.csv
20.00003947;2.14061594;-0.119510889;-1.07032299;2.396270177;sample_07_Kiesel_combo2_cut21.csv
21.00003843;0.551393032;-0.36410144;-1.671961784;1.797793187;sample_07_Kiesel_combo2_cut22.csv
22.00003585;-2.217695951;-0.530504525;-1.20639801;2.579729936;sample_07_Kiesel_combo2_cut23.csv
23.00003542;0.301634491;0.086025119;0.162780762;0.353385432;sample_07_Kiesel_combo2_cut24.csv
24.00003661;-0.119942546;0.022586644;0.098462105;0.156815678;sample_07_Kiesel_combo2_cut25.csv
25.00793295;0.382164091;-0.574546039;0.321278572;0.761165202;sample_07_Kiesel_combo2_cut26.csv
26.00793017;-0.059846565;0.549783528;-0.364274025;0.662222851;sample_07_Kiesel_combo2_cut27.csv
0;-0.029235005;0.008945405;0.180411339;0.182983488;sample_08_Klinker_combo2_cut01.csv
1.007996972;0.045615882;0.083100975;-0.003083229;0.094847704;sample_08_Klinker_combo2_cut02.csv
