time_s,acc_x_ms2,acc_y_ms2,acc_z_ms2,acc_abs_ms2
23.007944299000002,-1.376698494,-1.556036949,1.526934624,2.578386913
23.015939069,0.04290598631,-1.805876374,0.276216507,1.82738227
23.023933829,0.4370231032,-1.3676157,-0.8480682373,1.66750761
23.031930759,2.152219296,-1.606712341,-1.611577988,3.132212645
23.039925759,3.410562754,-1.979781508,-1.563656807,4.242227685
23.047951069,2.530882359,-1.596399069,-0.3882646561,3.017383791
23.055947369000002,2.127503633,-1.419068098,0.6431713104,2.636986028
23.063944219,0.4256615639,-0.8888542056,-0.5227718353,1.115589511
23.071940529,0.2240427583,-1.127387524,-0.1275215149,1.156485851
23.079932609,0.7542201281,-0.7237743139,2.245280266,2.476687451
23.087929759,-0.1404404938,-0.625051856,0.3903017044,0.750165832
23.095924909,-0.8238893747,-0.3996754587,-2.067584038,2.261291208
23.103952839,-1.122107267,0.5013177991,-3.107251167,3.341474835
23.111947609,-1.275678277,-0.2579236925,-0.8286085129,1.542877754
23.119941839,-1.445303202,-0.75702703,-0.9154949188,1.870861357
23.127937219,-1.880865097,-1.237049699,-0.8420629501,2.403542278
23.135933449,-1.207116723,-1.497296333,0.9667720795,2.152597349
23.143928219,-0.677464664,-1.085406661,2.789482117,3.06892106
23.151925219,-0.6528397202,-0.286441654,1.878590584,2.009316078
23.159949839,-0.6578057408,0.1413409114,1.164475441,1.344874975
23.167949139,0.5673526525,0.3806301951,0.4338436127,0.8093136957
23.175941219,0.7130151987,0.159421593,-1.005444527,1.242869508
23.183938139,0.7576362491,-0.007673531771,0.9982976913,1.253263679
23.191933759,0.7142136693,-0.4029280543,3.457036018,3.552963582
23.199929759,-0.497277081,0.350409627,0.5265398026,0.8045592369
23.207924909,0.2536466122,0.7756341696,-1.925030231,2.090857805
23.215951679,-0.893289566,0.7784979343,-2.415793896,2.690740684
23.223947909,-0.3521506786,-0.8358813524,-0.689745903,1.139498638
23.231943299,-0.6221314669,-1.019350529,-0.5488615036,1.314295253
23.239937449,-1.177404523,-0.8673706055,-1.243614197,1.919684726
23.247931909000002,0.2418937981,-0.300186187,1.126188278,1.190346334
23.255929449,-0.1550201774,1.036696434,2.936001778,3.117511378
23.263925219,-0.01278813928,1.321341515,3.086791992,3.357736103
23.271952529,0.6994349957,1.603142381,3.287937164,3.724218791
23.279946449,0.8657722473,2.666594505,3.024657249,4.124177411
23.287940909,2.008485556,3.535996437,1.710428238,4.411671995
23.295938069,2.270499468,3.94061017,-1.463990211,4.777744624
23.303933139,2.072953701,3.380338192,-4.14878273,5.739008754
23.311930379,-0.5883219242,1.375993729,-2.817183018,3.189984574
23.319925759,-2.441732168,2.015860081,-0.6375741959,3.229899178
23.327949759,1.245998621,2.175347567,1.285569191,2.817328121
23.335946759,1.072296977,3.22797966,3.180891991,4.657010559
23.343941529,1.132715225,3.452534676,2.824355125,4.602175718
23.351936839,0.1854903698,3.048565865,0.4160585403,3.08241224
23.359934679,0.5016906857,2.411924601,-0.9448843002,2.638537505
23.367927909,2.098728895,1.406653643,-0.6888742447,2.618756417
23.375926139,1.797357678,1.549924254,2.106186867,3.17313456
23.383950139,3.037050724,2.323730469,2.319737434,4.472648226
23.391945759,2.675192595,3.079210281,1.168704987,4.243119456
23.399940219,1.162778854,2.35321331,-0.04923248291,2.625279297
23.407936219,1.250082135,2.169091225,-1.687501907,3.019159614
23.415932839,1.251846552,2.708188057,-2.853695393,4.128556616
23.423927909,0.5897770524,2.882457733,-2.492103577,3.855772269
23.431923369,0.2909818292,2.594057083,-1.257442474,2.897406453
23.439950449,-1.411181808,2.252943039,-0.1731319427,2.664049756
23.447946369,-0.9701058865,2.250612497,0.06091308594,2.45154491
23.455941219,-0.27000615,2.088900089,0.1724052429,2.113322141
23.463936299,-1.408895731,2.055232525,0.3908882141,2.52225326
23.471931679,-1.419911861,1.83141613,-0.09924697876,2.319500959
23.479928909,-0.5957499146,1.517229795,-0.6746234894,1.764092136
23.487954369,0.4932954907,1.610908747,-1.303250313,2.129983288
23.495948839,1.123657942,1.851672769,-1.20186615,2.477050959
23.503944909,1.491702914,1.451698542,-0.6291484833,2.174496276
23.511940299,1.13508296,1.110613823,-0.1571388245,1.595797293
23.519936219,0.603184402,1.08319819,-0.3703317642,1.293945654
23.527931369,0.5341089964,0.9227958918,-0.1025619507,1.071141275
23.535927989,0.6119106412,1.087358952,-0.08858108521,1.250852002
23.543923379,-0.4528686702,1.036019564,0.04729366302,1.131663934
23.551949149,-1.005217433,0.7032399178,0.2155981064,1.245588621
23.559945529,-1.503870368,0.6015827656,0.07429218292,1.621433698
23.567939379,-1.779372215,0.513248086,0.1835918427,1.860993026
23.575936609,-1.58501935,0.5277854204,0.07456684113,1.672245198
23.583930449,-2.25581336,0.5717599392,-0.209400177,2.336546978
23.591929759,-1.905717492,0.5497415066,0.2195062637,1.995534486
23.599923379,-1.219723821,0.6104772091,-0.1465797424,1.371821505
23.607949219,-0.8826169968,0.5319254398,-0.005328178406,1.030526965
23.615946989,0.004340734333,0.429962635,0.05166912079,0.4330778308
23.623940299,-0.4668155909,0.5125608444,-0.3222227097,0.7645017264
23.631935679,-0.3213049471,0.4015359879,0.1916389465,0.5488109915
23.639931679,-0.1756476909,0.5493023396,0.4344425201,0.7220287216
23.647926679,-0.2151968479,0.8365292549,0.279715538,0.9079271226
23.655951909,0.04802720249,0.6150746346,0.4383640289,0.7568265588
23.663949759,-0.3227374852,0.8552775383,-0.3144979477,0.96673063
23.671944219,-0.1610608846,0.8249907494,-0.7022981644,1.095341525
23.679939379,-0.1663877666,0.8551678658,-0.7059793472,1.121340183
23.687937759,-0.4653170705,0.7323584557,-0.3744411469,0.9450264843
23.695929839,0.05934398994,0.4504435062,-0.1365289688,0.474406177
23.703926379,0.4770537019,0.2449951172,0.04340744019,0.5380400057
23.711953149,0.9919212461,-0.18871665,0.0906829834,1.013777656
23.719947379,1.111699939,-0.2826173306,-0.3611888885,1.202583354
23.727944299,1.217701793,-0.6442604065,-0.2541189194,1.400873139
23.735942069,1.281666398,-0.8329155445,-0.07657051086,1.530450948
23.743936219000002,1.0130409,-1.154260397,0.1593093872,1.544004019
23.751931909,0.6633915901,-1.379276752,0.02279853821,1.530690215
23.759925839,0.3995016515,-1.544905663,-0.1027603149,1.599029317
23.767952219,0.283442378,-1.880531311,-0.02832698822,1.901983179
23.775948219,0.03819511086,-2.181185246,0.2936592102,2.201195964
23.783943299,-0.3383587301,-2.251372099,0.6378183365,2.364312836
23.791939689,-0.7583068609,-2.36614871,1.063467026,2.70271181
23.799935379,-0.9552898407,-2.275051117,1.169816971,2.730733969
23.807931989,-0.8830543756,-2.069410324,1.092682838,2.501239674
23.815926379,-0.6162481308,-1.951162457,0.7574663162,2.181868904
23.823951689,-0.4569998085,-1.394375205,0.5545701981,1.568655202
23.831948299,-0.1978882849,-1.402561426,0.6636009216,1.564194525
23.839942689,0.1672712713,-1.281607866,0.3825778961,1.347911068
23.847941529,0.7591562867,-1.12810564,-0.4473161697,1.431444152
23.855935609,0.41380018,-0.8444194794,-0.3458404541,1.001938354
23.863929529,0.0217185691,-0.7202898264,0.288107872,0.7760768494
23.871925839,-0.4056807458,-0.5861039162,0.0008335113525,0.7128080828
23.879953149,-0.4933571815,-0.7655279636,-0.2116165161,0.9349951452
23.887948839,-0.2464800179,-0.9153632522,0.004909515381,0.9479801612
23.895943299,0.07055310905,-0.9010071158,-0.01529693604,0.9038946621
23.903937149,0.2562285662,-1.000433683,-0.1453151703,1.042898428
23.911935609,0.09222359955,-1.022177339,-0.1935997009,1.044429293
23.919931299,-0.39052701,-1.106051326,-0.06460952759,1.174749025
