time_s,acc_x_ms2,acc_y_ms2,acc_z_ms2,acc_abs_ms2
14.007993921,0.2572811544,-0.7396097183,3.995566368,4.071580373
14.015988771,0.1255366504,0.2121834755,0.5122833252,0.5685204334
14.023985611,-1.007556915,1.611854315,-2.927577019,3.490551886
14.031981691,0.1384177804,1.703320503,-4.777668476,5.074108423
14.039975531000001,1.004033804,0.2124176025,-2.268407822,2.48975484
14.048002231,0.1392229795,-1.56947124,2.881287575,3.283967281
14.055997611,0.9843188524,-3.019062996,4.985234261,5.910684022
14.063994301000001,1.138738632,-2.472572327,3.28994751,4.270139834
14.071992991,0.9750831127,-1.121091843,-0.1410923004,1.492494902
14.079985991000001,-0.6457749605,0.1198709011,-2.744191647,2.821698447
14.087981611,-0.2557552159,-0.09266459942,-0.5782079697,0.6390007157
14.095976451,-0.01845926046,-1.07193017,1.700264931,2.010043748
14.104003451,0.2035882473,-1.501927137,2.530531883,2.949716073
14.112000141000001,0.6273365021,-1.700098276,2.769924164,3.310040046
14.119993301000001,0.4849831462,-1.042214751,2.10225296,2.396014973
14.127989291,1.840296149,0.2117462158,-0.3562326431,1.886379621
14.135984371000001,-0.4012049139,1.653109789,-2.735789776,3.22153427
14.143980991000001,0.8011963367,1.96980691,-2.383102894,3.193937105
14.151977371000001,0.7799782753,1.375026107,-1.43401432,2.134352355
14.160004991000001,0.3188263774,-0.1099592447,0.08234786987,0.3471634573
14.167997601000001,0.3499444723,-1.068662882,1.421133995,1.812215032
14.175993911,-0.2942675352,-0.8516891003,0.5713014603,1.066936298
14.183989061,-1.175575376,-0.4727950692,-0.7480535507,1.471426776
14.191985291,-0.3499933779,-0.1806297004,-3.10882473,3.133674146
14.199982291000001,-1.55749774,0.2157396674,-2.915008068,3.312040889
14.207975441,-1.198356271,-0.01694279909,-0.3679857254,1.253697852
14.216001901,-1.417646289,-0.7234960794,3.992938042,4.298455744
14.223998901,-0.501824975,-0.6708694696,5.299717903,5.365529238
14.231994521,0.3347207308,0.3179166913,1.318061829,1.396565779
14.239988051000001,-1.410600901,1.595199466,-3.092374802,3.754628896
14.247985671,0.818805933,1.932361245,-4.579006195,5.037038899
14.255979131,1.411708355,0.8939695358,-3.879948139,4.224464413
14.264006521,0.2502092719,-0.2669516802,0.5802793503,0.6859970872
14.272002591000001,-0.4344938993,-1.432948709,4.896602631,5.120433993
14.279998211,0.2382512391,-0.9642217159,3.912405968,4.036509337
14.287995441000001,-0.5885810852,-0.02166688442,1.434394836,1.550608169
14.295988051,-0.9937297106,0.8695811033,-1.697270393,2.150441076
14.303983131,-0.1433037817,1.310117722,-3.432935238,3.677225689
14.311981281000001,-1.494600534,1.556605339,-2.563796997,3.351105188
14.319976361,-0.7679550648,0.9403944016,0.7522726059,1.428289426
14.328001051000001,0.1888133883,-0.5046814084,3.254163742,3.29847472
14.335998201,-0.166330114,-1.010333776,3.445545197,3.594470997
14.343992051,-0.2685701549,-0.4335962534,0.7855863571,0.9366330998
14.351988971,-0.7190368176,0.3271433115,-0.3061103821,0.8471955248
14.359983821,-0.1289823651,1.176921725,-0.4111680984,1.253331721
14.367979511000001,0.2464942783,1.449219823,0.08508968353,1.472493728
14.375975741000001,0.03124964237,1.375564694,1.000478745,1.701209125
14.384001271,0.170561403,1.175294876,1.240768433,1.717531817
14.391999201,0.5166990757,1.348277092,0.1118087769,1.448216232
14.399994201,0.11515975,1.745294571,-1.674790382,2.421618825
14.407988121,-0.217961058,1.607724905,-1.949855804,2.536577231
14.415985271,-0.5795373917,1.344844103,-1.308138847,1.963592751
14.423980351,-0.0884726122,0.4390425086,-0.07041740417,0.4533699795
14.431977271000001,-0.1520110816,-0.394918412,0.9563150406,1.045756366
14.440001891000001,-0.6086797118,-0.7260811329,0.1078271866,0.9535782638
14.447996961000001,0.1272523999,-0.543964982,-1.117153168,1.249048548
14.455992041,-0.1205021292,-0.3225466609,-1.976467609,2.00623561
14.463988351000001,0.4157606959,-0.7801151872,-1.92405653,2.117411201
14.471983501,0.3489341736,-1.57278645,-1.59173584,2.264737349
14.479978191,-0.4645273685,-1.727492094,-1.345700264,2.238509283
