"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779387811000976E9,"2026-05-21 20:23:31.001 UTC+02:00"
"PAUSE",1.442789883341175E1,1.779387825428951E9,"2026-05-21 20:23:45.429 UTC+02:00"
