"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779387089420528E9,"2026-05-21 20:11:29.421 UTC+02:00"
"PAUSE",1.295135212503374E1,1.779387102371946E9,"2026-05-21 20:11:42.372 UTC+02:00"
