"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779387186839461E9,"2026-05-21 20:13:06.839 UTC+02:00"
"PAUSE",1.304362645838410E1,1.779387199883156E9,"2026-05-21 20:13:19.883 UTC+02:00"
