"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779270514791447E9,"2026-05-20 11:48:34.791 UTC+02:00"
"PAUSE",1.387703337508719E1,1.779270528668418E9,"2026-05-20 11:48:48.668 UTC+02:00"
