"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779268996742469E9,"2026-05-20 11:23:16.742 UTC+02:00"
"PAUSE",1.332704820833169E1,1.779269010069451E9,"2026-05-20 11:23:30.069 UTC+02:00"
